API Name,Provider Name,Logo,Web2 Docs,Airnode Docs,Contact,Description,About Provider,Category/Industry,Tags
"*= N/A, **= multiple APIs",,,,,,,,,
0Chain API,0Chain,0Chain.svg,https://api.0chain.net/,,https://0chain.net/,"0Chain offers a decentralized API platform for data storage, a private cloud network, cryptocurrency wallet, and data privacy solutions.",,Finance & Banking,"crypto, storage, cloud, privacy"
FOREX Quote API,1Forge,1Forge.svg,https://1forge.com/api,,https://1forge.com/,"1Forge API provides real-time quote data (bid & ask) for 700+ Forex & Cryptocurrency pairs. They connect directly to brokers and liquidity providers to provide data as fast as any ECN or brokerage. Depending on how active the market is, you can see price updates over 200 times per second for a single currency pair.",,Finance & Banking,"capital markets, exchange data, forex"
FM Token API,37 Austen,37%20Austen.svg,https://www.37austen.com/api/documentation/token,,https://www.37austen.com/,37 Austen's Future Movement Token API provides clients with a multidimensional  using varying time horizons to help predict a crypto asset's price volatility in real-time.,,Finance & Banking,"trading, capital markets, crypto, prediction"
Abatisens API,abatisens,abatisens.svg,N/A,,https://www.abatisens.de/,"Abatisens API provides audio, visual, and large volume data processing solutions.",,Biotechnology,"recognition, text extraction, data processing"
Alameda OTC API,Alameda Research,Alameda%20Research.svg,https://alamedaresearchotcportal.docs.apiary.io/#introduction,,https://alamedaotc.zendesk.com/hc/en-us/requests/new,"Alameda Research API provides OTC services for the cryptocurrency market with endpoints including: trading pairs, deposits, withdrawals, and more.",,Finance & Banking,"crypto, trading, exchange data"
Algoseek API,Algoseek,Algoseek.svg,N/A,,https://www.algoseek.com/contact.html,"Algoseek API provides access to historical intraday US market data offering the most comprehensive and detailed market data and analytics products in the financial industry covering equities, futures, options, cash forex and cryptocurrencies. Their data is built for quantitative trading and machine learning and also provides reference data including equity security master file, future security master file, equity adjustment factor, and full corporate events. ",,Finance & Banking,"capital markets, pricing, exchange data"
Ambee Weather API,Ambee,Ambee.svg,https://www.getambee.com/api-documentation,,https://www.getambee.com/contact-expert,,,Environmental,"weather, air quality, pollution"
ANU QRNG,ANU Quantum Optics Group,Quantum%20Random%20Numbers%20at%20ANU.svg,https://qrng.anu.edu.au/contact/api-documentation/,https://gist.github.com/cqtsma2/ddf41cfb4dc1a64ac5fee08a349af8b4,https://qrng.anu.edu.au/,"This API offers true random numbers to anyone on Web3. The random numbers are generated in real-time in our lab by measuring the quantum fluctuations of the vacuum. The vacuum is described very differently in the quantum physics and classical physics. In classical physics, a vacuum is considered as a space that is empty of matter or photons. Quantum physics however says that that same space resembles a sea of virtual particles appearing and disappearing all the time. This is because the vacuum still possesses a zero-point energy. Consequently, the electromagnetic field of the vacuum exhibits random fluctuations in phase and amplitude at all frequencies. By carefully measuring these fluctuations, we are able to generate ultra-high bandwidth random numbers.","ANU is The Australian National University. We are a university in Canberra, the capital city of Australia. QRNG stands for Quantum Random Number Generator.",Utility,"randomness, math, cryptography"
Anyblocks Blockchain Analytics API,Anyblocks,Anyblocks.svg,https://apidocs.anyblock.tools/,,https://www.anyblockanalytics.com/,Anyblock's Blockchain Analytics API is a searchable real-time blockchain data platform of 20+ Ethereum- and Bitcoin-based blockchains,,Finance & Banking,"crypto, exchange data,"
